pre.send,main.matrix,remain.matrix,total.comput,total
0.00764482,0.195145,0.00764523,0.20279,0.210435
0.00817469,0.195438,0.00817495,0.203613,0.211787
0.00770556,0.194638,0.00770576,0.202343,0.210049
0.0076941,0.195254,0.00769448,0.202948,0.210642
0.00821741,0.194823,0.0082177,0.203041,0.211258
0.00775058,0.196951,0.00775102,0.204702,0.212453
0.00768966,0.204392,0.00769005,0.212082,0.219772
0.00762492,0.194695,0.0076255,0.202321,0.209946
0.008245,0.195643,0.00824545,0.203889,0.212134
0.0082532,0.196714,0.00825385,0.204967,0.213221
