pre.send,main.matrix,remain.matrix,total.comput,total
0.00810408,0.222353,0.0271725,0.249526,0.25763
0.00743585,0.218239,0.0263217,0.244561,0.251996
0.00804598,0.222068,0.0270393,0.249107,0.257153
0.00799064,0.218174,0.026889,0.245063,0.253054
0.00808677,0.220957,0.0271862,0.248143,0.25623
0.00810475,0.220896,0.0271671,0.248063,0.256168
0.00800453,0.219135,0.0268989,0.246034,0.254039
0.00799827,0.218601,0.026891,0.245492,0.253491
0.00749571,0.221868,0.026604,0.248472,0.255967
0.0074097,0.219153,0.0263787,0.245532,0.252941
