pre.send,main.matrix,remain.matrix,total.comput,total
0.00766302,0.163694,0.00766325,0.171357,0.17902
0.00768409,0.16304,0.00768439,0.170724,0.178408
0.00765766,0.162618,0.00765828,0.170276,0.177934
0.00775483,0.165309,0.00775503,0.173064,0.180819
0.00825313,0.164304,0.00825333,0.172557,0.180811
0.00763166,0.163327,0.007632,0.170959,0.17859
0.00765404,0.163044,0.0076545,0.170699,0.178353
0.00763874,0.163806,0.00763899,0.171445,0.179084
0.00833297,0.163849,0.00833319,0.172182,0.180515
0.00771246,0.16306,0.00771273,0.170773,0.178486
