#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.53
2,1000,0.39,5.13
4,1000,0.39,10.30
8,1000,0.40,19.79
16,1000,0.39,40.77
32,1000,0.56,57.61
64,1000,0.56,114.97
128,1000,0.87,147.42
256,1000,0.93,276.16
512,1000,1.14,448.89
1024,1000,1.34,764.42
2048,1000,2.11,971.61
4096,1000,3.01,1361.74
8192,1000,4.75,1723.05
16384,1000,7.21,2271.07
32768,1000,12.57,2607.21
65536,640,23.97,2734.45
131072,320,42.27,3100.56
262144,160,14.38,18229.59
524288,80,25.87,20265.34
1048576,40,58.18,18021.97
2097152,20,145.73,14390.88
4194304,10,296.09,14165.73
8388608,5,622.01,13486.40
16777216,2,1902.58,8818.15
33554432,1,5590.84,6001.68
67108864,1,11875.84,5650.87
134217728,1,23746.76,5652.04
268435456,1,47491.46,5652.29
