pre.send,main.matrix,remain.matrix,total.comput,total
0.00801162,0.151973,0.0146368,0.16661,0.174621
0.00794425,0.153268,0.0144503,0.167718,0.175662
0.00779223,0.151672,0.014447,0.166119,0.173912
0.00736991,0.154598,0.0140236,0.168621,0.175991
0.00786418,0.15131,0.0144328,0.165743,0.173607
0.00789592,0.153655,0.0144587,0.168113,0.176009
0.00723081,0.152451,0.0136994,0.166151,0.173381
0.00774652,0.151065,0.0142514,0.165316,0.173063
0.00786124,0.151788,0.0144589,0.166247,0.174108
0.00782855,0.151604,0.0143787,0.165983,0.173811
