pre.send,main.matrix,remain.matrix,total.comput,total
0.0108186,0.247232,0.0108188,0.25805,0.268869
0.0107375,0.246133,0.0107377,0.25687,0.267608
0.0107664,0.247765,0.0107667,0.258531,0.269298
0.0107368,0.245129,0.0107371,0.255866,0.266603
0.0108227,0.248812,0.010823,0.259635,0.270458
0.0107039,0.245035,0.0107042,0.255739,0.266443
0.0108433,0.248438,0.0108435,0.259281,0.270124
0.0108225,0.248818,0.0108228,0.259641,0.270463
0.0108241,0.247028,0.0108247,0.257853,0.268677
0.0107969,0.249365,0.0107971,0.260162,0.270959
