pre.send,main.matrix,remain.matrix,total.comput,total
0.00792345,0.284254,0.0319382,0.316193,0.324116
0.00780429,0.279509,0.0315113,0.311021,0.318825
0.0077681,0.279591,0.0314747,0.311066,0.318834
0.00719919,0.279734,0.0310067,0.31074,0.317939
0.00783872,0.280826,0.0316442,0.312471,0.320309
0.00789893,0.283916,0.0318193,0.315735,0.323634
0.00781683,0.283168,0.0317975,0.314965,0.322782
0.00784798,0.280479,0.0316609,0.31214,0.319988
0.00785613,0.28089,0.0316362,0.312526,0.320382
0.00789952,0.283995,0.0319372,0.315932,0.323832
