pre.send,main.matrix,remain.matrix,total.comput,total
0.007874,0.151204,0.0145665,0.16577,0.173644
0.007825,0.15204,0.014642,0.166682,0.174507
0.00794661,0.151819,0.0147508,0.16657,0.174517
0.00784221,0.151145,0.0146015,0.165747,0.173589
0.00790688,0.15414,0.0147369,0.168877,0.176784
0.00780777,0.152143,0.0146014,0.166745,0.174553
0.00845318,0.152006,0.0233683,0.175374,0.183827
0.00789934,0.151372,0.0147418,0.166114,0.174013
0.00778087,0.151997,0.0144698,0.166466,0.174247
0.00778988,0.150996,0.0146398,0.165636,0.173426
