pre.send,main.matrix,remain.matrix,total.comput,total
0.00779388,0.18252,0.01457,0.19709,0.204883
0.00779935,0.169785,0.0145699,0.184355,0.192155
0.00791294,0.171579,0.0147872,0.186366,0.194279
0.00790302,0.171594,0.0147465,0.186341,0.194244
0.00785383,0.17291,0.014728,0.187638,0.195492
0.00783426,0.169476,0.0145417,0.184017,0.191852
0.00788503,0.171776,0.0147597,0.186535,0.19442
0.00726891,0.170511,0.0140399,0.184551,0.19182
0.00793345,0.176339,0.0147801,0.191119,0.199053
0.00780819,0.170593,0.0145884,0.185181,0.192989
