pre.send,main.matrix,remain.matrix,total.comput,total
0.00721313,0.157273,0.0155446,0.172817,0.18003
0.00781476,0.155754,0.0144005,0.170155,0.177969
0.00736021,0.16234,0.0140344,0.176374,0.183735
0.00784501,0.155868,0.0144099,0.170278,0.178123
0.00792519,0.157955,0.0146159,0.172571,0.180496
0.00790252,0.156869,0.0145854,0.171454,0.179356
0.00778386,0.156205,0.0143703,0.170575,0.178359
0.00794688,0.157671,0.0146123,0.172283,0.18023
0.00791561,0.159172,0.0146052,0.173777,0.181692
0.00776295,0.15687,0.0143475,0.171217,0.17898
