#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.51
2,1000,0.40,4.96
4,1000,0.40,9.94
8,1000,0.40,19.93
16,1000,0.41,38.93
32,1000,0.56,56.79
64,1000,0.56,114.84
128,1000,0.89,143.34
256,1000,0.95,268.65
512,1000,1.16,442.66
1024,1000,1.32,776.00
2048,1000,2.13,961.32
4096,1000,3.11,1317.63
8192,1000,4.91,1668.35
16384,1000,7.88,2079.90
32768,1000,13.57,2415.55
65536,640,24.77,2645.81
131072,320,44.72,2930.62
262144,160,14.51,18060.79
524288,80,26.58,19725.61
1048576,40,59.68,17570.49
2097152,20,143.46,14618.25
4194304,10,293.78,14276.97
8388608,5,609.38,13765.82
16777216,2,1948.62,8609.78
33554432,1,5728.08,5857.88
67108864,1,11885.30,5646.38
134217728,1,23851.10,5627.32
268435456,1,47518.41,5649.08
