#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.55
2,1000,0.40,4.95
4,1000,0.40,10.04
8,1000,0.39,20.65
16,1000,0.39,40.75
32,1000,0.55,57.86
64,1000,0.55,115.62
128,1000,0.89,143.38
256,1000,0.94,272.01
512,1000,1.17,439.07
1024,1000,1.33,768.71
2048,1000,2.10,976.76
4096,1000,3.00,1364.99
8192,1000,4.76,1721.89
16384,1000,7.32,2238.56
32768,1000,12.62,2596.16
65536,640,22.97,2853.03
131072,320,42.61,3075.78
262144,160,13.09,20020.91
524288,80,22.92,22873.13
1048576,40,52.76,19873.23
2097152,20,138.62,15129.10
4194304,10,293.15,14307.48
8388608,5,617.48,13585.19
16777216,2,1940.60,8645.36
33554432,1,5497.83,6103.21
67108864,1,11834.34,5670.69
134217728,1,23853.28,5626.80
268435456,1,47495.66,5651.79
