#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.58,1.71
2,1000,0.60,3.33
4,1000,0.60,6.70
8,1000,0.61,13.12
16,1000,0.61,26.32
32,1000,0.68,46.86
64,1000,0.81,78.78
128,1000,0.96,133.82
256,1000,1.13,226.93
512,1000,1.05,488.88
1024,1000,1.42,720.55
2048,1000,1.80,1140.06
4096,1000,2.82,1454.01
8192,1000,3.23,2535.49
16384,1000,3.83,4280.34
32768,1000,4.86,6736.61
65536,640,6.64,9875.69
131072,320,11.02,11891.13
262144,160,19.67,13328.31
524288,80,40.10,13075.02
1048576,40,95.45,10986.05
2097152,20,213.38,9828.41
4194304,10,403.60,10392.24
8388608,5,890.55,9419.60
16777216,2,3197.50,5246.98
33554432,1,8402.75,3993.27
67108864,1,16908.30,3968.99
134217728,1,34279.91,3915.35
268435456,1,67546.10,3974.11
