#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.64,1.57
2,1000,0.64,3.12
4,1000,0.65,6.16
8,1000,0.65,12.38
16,1000,0.63,25.23
32,1000,0.76,42.34
64,1000,0.89,71.67
128,1000,1.08,118.94
256,1000,1.30,196.51
512,1000,1.26,405.31
1024,1000,1.38,741.35
2048,1000,1.65,1244.04
4096,1000,2.69,1524.34
8192,1000,3.41,2402.34
16384,1000,3.56,4599.26
32768,1000,5.15,6365.61
65536,640,6.21,10558.33
131072,320,11.65,11246.62
262144,160,20.05,13072.45
524288,80,41.24,12713.77
1048576,40,97.53,10751.69
2097152,20,216.60,9682.09
4194304,10,409.84,10233.90
8388608,5,911.96,9198.46
16777216,2,3246.51,5167.77
33554432,1,8498.62,3948.22
67108864,1,17072.37,3930.85
134217728,1,34159.10,3929.19
268435456,1,68180.93,3937.10
