pre.send,main.matrix,remain.matrix,total.comput,total
0.008127,0.21265,0.0158237,0.228474,0.236601
0.00823972,0.215709,0.0158942,0.231603,0.239843
0.00813861,0.21381,0.0157383,0.229548,0.237687
0.00757807,0.213529,0.0151938,0.228723,0.236301
0.00761386,0.215509,0.0152906,0.2308,0.238414
0.00814532,0.212904,0.0157165,0.228621,0.236766
0.00755284,0.21307,0.01517,0.22824,0.235793
0.00760784,0.215352,0.0152799,0.230632,0.23824
0.00759104,0.215186,0.0152217,0.230407,0.237999
0.00761098,0.213567,0.0152175,0.228785,0.236396
