pre.send,main.matrix,remain.matrix,total.comput,total
0.00792234,0.156301,0.0148735,0.171174,0.179097
0.00801897,0.160035,0.0224147,0.18245,0.190469
0.00781045,0.155479,0.0147422,0.170222,0.178032
0.00776386,0.155039,0.0146604,0.169699,0.177463
0.00792493,0.156564,0.0149569,0.171521,0.179446
0.00785006,0.155954,0.0147438,0.170697,0.178547
0.00725715,0.157119,0.0142577,0.171377,0.178634
0.00799165,0.157647,0.0150199,0.172667,0.180659
0.00777548,0.155254,0.0146895,0.169944,0.177719
0.0078242,0.155582,0.0147036,0.170286,0.17811
