pre.send,main.matrix,remain.matrix,total.comput,total
0.00797379,0.235436,0.0167043,0.252141,0.260114
0.00731512,0.235375,0.0159961,0.251371,0.258686
0.00723015,0.232872,0.0158699,0.248742,0.255973
0.00784146,0.238888,0.0164861,0.255374,0.263216
0.00732467,0.235271,0.0161223,0.251393,0.258718
0.00783454,0.232739,0.0164927,0.249232,0.257066
0.00777124,0.234328,0.0163939,0.250722,0.258493
0.00782437,0.234112,0.0165927,0.250705,0.258529
0.00792046,0.241773,0.016658,0.258432,0.266352
0.00779536,0.234029,0.0164768,0.250505,0.258301
