pre.send,main.matrix,remain.matrix,total.comput,total
0.00782771,0.255075,0.029005,0.28408,0.291908
0.00786658,0.258758,0.0293031,0.288061,0.295928
0.00719099,0.25535,0.0284608,0.283811,0.291002
0.00781048,0.255318,0.0289221,0.28424,0.292051
0.00783162,0.25656,0.0290254,0.285585,0.293417
0.00787716,0.258615,0.0292944,0.287909,0.295786
0.00779054,0.257157,0.0289943,0.286151,0.293942
0.00782129,0.257896,0.0289747,0.286871,0.294692
0.00727094,0.255341,0.0286059,0.283947,0.291218
0.00777592,0.254367,0.0288887,0.283256,0.291031
