pre.send,main.matrix,remain.matrix,total.comput,total
0.01075,0.191652,0.0107502,0.202402,0.213152
0.0107815,0.192133,0.0107818,0.202915,0.213696
0.0108542,0.191753,0.0108546,0.202608,0.213462
0.0107761,0.192428,0.0107764,0.203204,0.213981
0.0107171,0.191273,0.0107173,0.201991,0.212708
0.0107896,0.191289,0.0107899,0.202079,0.212869
0.0108018,0.194152,0.0108022,0.204954,0.215756
0.0107896,0.191231,0.0107899,0.20202,0.21281
0.0107707,0.193296,0.010771,0.204067,0.214838
0.0107984,0.193514,0.0107988,0.204313,0.215112
