pre.send,main.matrix,total
0.00822178,0.0878664,0.0960882
0.0076454,0.0872032,0.0948486
0.00762754,0.0853028,0.0929304
0.00822396,0.0872493,0.0954733
0.00764418,0.0873228,0.0949669
0.0076188,0.0873353,0.0949541
0.00761862,0.0873675,0.0949861
0.00775736,0.0884988,0.0962561
0.00820804,0.0869751,0.0951832
0.00776577,0.0884138,0.0961796
