#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.93
2,1000,0.19,10.26
4,1000,0.20,20.33
8,1000,0.20,40.57
16,1000,0.18,87.02
32,1000,0.22,144.63
64,1000,0.22,288.90
128,1000,0.31,414.42
256,1000,0.33,785.60
512,1000,0.39,1329.54
1024,1000,0.50,2054.09
2048,1000,0.74,2770.71
4096,1000,1.11,3692.46
8192,1000,1.86,4408.74
16384,1000,2.95,5549.48
32768,1000,4.73,6925.88
65536,640,8.12,8071.69
131072,320,14.57,8995.16
262144,160,12.74,20582.06
524288,80,25.88,20257.23
1048576,40,62.41,16801.86
2097152,20,143.34,14630.70
4194304,10,329.94,12712.45
8388608,5,902.12,9298.79
16777216,2,2263.62,7411.69
33554432,1,5194.69,6459.37
67108864,1,10418.64,6441.23
134217728,1,20929.54,6412.84
268435456,1,41657.99,6443.79
