#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.19,5.15
2,1000,0.20,10.22
4,1000,0.20,19.93
8,1000,0.20,40.74
16,1000,0.19,85.85
32,1000,0.22,145.09
64,1000,0.22,290.96
128,1000,0.30,424.39
256,1000,0.32,804.93
512,1000,0.38,1351.03
1024,1000,0.50,2063.84
2048,1000,0.74,2762.85
4096,1000,1.11,3679.34
8192,1000,1.86,4401.29
16384,1000,2.94,5564.00
32768,1000,4.73,6934.70
65536,640,8.07,8120.88
131072,320,14.52,9029.22
262144,160,12.84,20410.16
524288,80,24.45,21445.03
1048576,40,58.84,17821.90
2097152,20,138.46,15145.94
4194304,10,331.47,12653.64
8388608,5,866.15,9684.98
16777216,2,2265.14,7406.69
33554432,1,5212.87,6436.85
67108864,1,10429.48,6434.54
134217728,1,20925.35,6414.12
268435456,1,41610.98,6451.07
