#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.21,4.75
2,1000,0.18,10.83
4,1000,0.18,21.67
8,1000,0.18,43.48
16,1000,0.19,85.71
32,1000,0.22,145.07
64,1000,0.22,290.01
128,1000,0.30,427.55
256,1000,0.33,783.40
512,1000,0.39,1323.44
1024,1000,0.49,2075.12
2048,1000,0.74,2762.31
4096,1000,1.11,3684.15
8192,1000,1.86,4413.04
16384,1000,2.95,5552.97
32768,1000,4.74,6907.57
65536,640,8.11,8077.51
131072,320,14.60,8974.84
262144,160,12.56,20865.86
524288,80,23.61,22202.41
1048576,40,59.98,17481.72
2097152,20,136.54,15359.57
4194304,10,335.77,12491.60
8388608,5,900.84,9312.01
16777216,2,2300.58,7292.61
33554432,1,5228.54,6417.56
67108864,1,10483.90,6401.14
134217728,1,20992.51,6393.60
268435456,1,41771.75,6426.24
