5,134217727,16,43.8944,25.4569,13.3953,5.04222
5,268435455,16,89.6448,50.9297,28.4184,10.2968
5,536870911,16,183.877,102.982,60.3359,20.5589
5,1073741823,2,1265.57,112.709,1124.38,28.481
5,134217727,2,134.369,12.8907,118.984,2.49424
5,268435455,2,280.11,26.0648,249.125,4.91975
5,536870911,2,589.442,52.3459,526.271,10.8256
5,134217727,32,41.5488,26.9615,6.58498,8.00232
5,268435455,32,88.7985,59.5303,17.0969,12.1712
5,536870911,32,180.689,115.806,31.5768,33.3054
5,1073741823,4,760.878,168.952,556.069,35.8569
5,134217727,4,79.7866,19.4895,55.9376,4.35951
5,268435455,4,165.521,39.1452,118.402,7.97402
5,536870911,4,343.205,78.0908,249.043,16.0708
5,134217727,8,54.8647,23.0212,27.1432,4.70032
5,268435455,8,112.608,45.9263,56.7657,9.91549
5,536870911,8,231.177,91.9894,120.489,18.6987
