NDIM,NUMPOINTS,numproc,MPI TIME,sending_time,building_time,receiving_time
2,1073741823,16,261.15,126.602,98.7727,35.7748
2,134217727,16,29.3645,15.0585,9.95868,4.3473
2,268435455,16,61.2781,30.3996,22.3697,8.50884
2,536870911,16,122.305,60.2587,44.6634,17.3825
2,1073741823,2,949.958,65.5385,866.815,17.6047
2,134217727,2,99.1845,7.77241,89.0396,2.37248
2,268435455,2,208,15.647,187.988,4.36544
2,536870911,2,436.85,31.0764,394.274,11.4992
2,1073741823,32,246.065,153.779,55.6556,36.6302
2,134217727,32,28.5439,18.3657,5.61127,4.56688
2,268435455,32,58.0748,37.0105,12.311,8.75323
2,536870911,32,112.624,68.9335,26.4652,17.2257
2,1073741823,4,543.676,98.3561,413.778,31.5413
2,134217727,4,57.6569,11.5883,42.3806,3.688
2,2147483647,4,1186.73,197.099,907.518,82.1098
2,268435455,4,120.517,23.2939,89.6394,7.58365
2,536870911,4,251.99,47.2357,189.709,15.0454
2,1073741823,8,351.982,115.914,201.942,34.1251
2,134217727,8,38.1114,13.693,20.3413,4.07708
2,2147483647,8,1572.78,580.936,710.306,281.538
2,268435455,8,78.7156,27.2325,43.1983,8.28474
2,536870911,8,164.244,54.65,91.6974,17.8969
