NDIM,NUMPOINTS,numproc,MPI TIME,sending_time,building_time,receiving_time
3,1073741823,16,253.153,140.22,101.131,11.8024
3,134217727,16,29.5997,17.4086,10.6755,1.51562
3,268435455,16,60.2195,34.794,22.5019,2.92362
3,536870911,16,122.859,69.6837,47.0832,6.09254
3,1073741823,2,969.022,72.787,891.097,5.13809
3,134217727,2,105.446,8.96887,95.2969,1.18049
3,268435455,2,219.5,17.9722,200.196,1.3315
3,536870911,2,457,35.9833,418.679,2.33755
3,1073741823,32,227.735,149.24,57.3379,21.1569
3,134217727,32,27.1887,18.6615,5.29093,3.23625
3,268435455,32,59.3362,42.0348,10.8132,6.48819
3,536870911,32,118.954,83.7785,26.9429,8.23272
3,1073741823,4,544.35,108.451,429.321,6.57823
3,134217727,4,60.3276,13.4334,45.4148,1.47943
3,2147483647,4,1133.06,217.169,897.978,17.9083
3,268435455,4,124.793,26.9673,95.3209,2.50452
3,536870911,4,258.063,53.7756,199.674,4.61298
3,1073741823,8,341.737,127.042,205.127,9.56813
3,134217727,8,39.2159,15.8806,21.8798,1.45554
3,2147483647,8,720.507,264.604,439.211,16.6932
3,268435455,8,80.0032,31.5558,45.7011,2.74619
3,536870911,8,164.677,63.5738,96.6033,4.5003
