1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05685984000,3.05679882300,2.85095782500,2.96004733600,Residual,38049999.9700,MLUPs,1695.85792982
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05350891700,3.05350190700,2.84980593000,2.95862631000,Residual,6333333.33330,MLUPs,1697.71896559
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05458573900,3.05457388700,2.84998547200,2.95948158400,Residual,1348765.43169,MLUPs,1697.12047490
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05410704300,3.05410415000,2.84941383100,2.95901612700,Residual,400720.164523,MLUPs,1697.38647893
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05481383700,3.05480272400,2.84901739300,2.95967208400,Residual,164116.083676,MLUPs,1696.99375367
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05372162000,3.05370964200,2.84933460500,2.95859910400,Residual,84556.7611452,MLUPs,1697.60071319
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05462385000,3.05462052500,2.85037810000,2.95958791700,Residual,50330.9964674,MLUPs,1697.09930079
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05571939200,3.05570612200,2.84960748700,2.96076355900,Residual,32864.4361354,MLUPs,1696.49085370
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05553425100,3.05552887800,2.85123473600,2.96033991000,Residual,22870.5004613,MLUPs,1696.59364751
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,3.05617250400,3.05616856300,2.85036751400,2.96101858300,Residual,16676.2679219,MLUPs,1696.23932982
