pre.send,main.matrix,remain.matrix,total.comput,total
0.00798622,0.178021,0.0123079,0.190329,0.198315
0.00808712,0.18055,0.0124727,0.193023,0.20111
0.00739935,0.177806,0.011714,0.18952,0.196919
0.00750314,0.17947,0.0118456,0.191316,0.198819
0.00806336,0.180622,0.0123986,0.19302,0.201084
0.00804932,0.179252,0.0123939,0.191646,0.199696
0.0074918,0.179856,0.0118692,0.191725,0.199217
0.00740166,0.178973,0.0116805,0.190653,0.198055
0.00750874,0.18037,0.0118744,0.192244,0.199753
0.00750945,0.179301,0.0118343,0.191135,0.198645
