pre.send,main.matrix,remain.matrix,total.comput,total
0.00825257,0.194519,0.00825293,0.202772,0.211024
0.00766356,0.194222,0.00766455,0.201886,0.20955
0.00767785,0.192747,0.00767827,0.200425,0.208103
0.00826784,0.192972,0.00826814,0.201241,0.209508
0.00833621,0.195695,0.00833669,0.204032,0.212368
0.00770381,0.194015,0.00770413,0.20172,0.209423
0.00764824,0.1933,0.00764853,0.200949,0.208597
0.00825932,0.194602,0.00825961,0.202861,0.21112
0.00825843,0.194636,0.00825881,0.202894,0.211153
0.00778394,0.195833,0.00778431,0.203618,0.211401
