pre.send,main.matrix,remain.matrix,total.comput,total
0.00779855,0.277709,0.00779888,0.285508,0.293306
0.00780082,0.276645,0.00780103,0.284446,0.292247
0.00775972,0.276563,0.00776002,0.284323,0.292083
0.00777206,0.276599,0.00777236,0.284372,0.292144
0.00765258,0.273223,0.00765293,0.280876,0.288529
0.00770763,0.275077,0.007708,0.282785,0.290492
0.00770723,0.276302,0.00770749,0.28401,0.291717
0.00779558,0.27704,0.00779587,0.284836,0.292632
0.00770118,0.273877,0.00770138,0.281579,0.28928
0.00778612,0.276519,0.0077864,0.284305,0.292091
