pre.send,main.matrix,total
0.00766992,0.0879453,0.0956152
0.00777378,0.0877749,0.0955487
0.00759446,0.0869021,0.0944966
0.00816696,0.0873444,0.0955113
0.00768544,0.0858059,0.0934914
0.00818284,0.0869705,0.0951534
0.00761359,0.0868604,0.094474
0.00762778,0.086781,0.0944088
0.00765328,0.0864377,0.094091
0.00761164,0.0860372,0.0936488
