pre.send,main.matrix,remain.matrix,total.comput,total
0.00766635,0.161858,0.00942751,0.171285,0.178951
0.00752612,0.160632,0.00925847,0.169891,0.177417
0.00754794,0.160791,0.00929143,0.170083,0.177631
0.00823054,0.159968,0.0100426,0.170011,0.178242
0.0076297,0.161051,0.00934848,0.1704,0.178029
0.00749207,0.160073,0.00922725,0.1693,0.176792
0.00751862,0.160699,0.00925236,0.169952,0.17747
0.00814918,0.165215,0.00988768,0.175102,0.183251
0.00813905,0.16099,0.00990092,0.170891,0.17903
0.00755135,0.161602,0.00932992,0.170931,0.178483
