pre.send,main.matrix,remain.matrix,total.comput,total
0.00813214,0.156089,0.0102438,0.166332,0.174465
0.00810544,0.157217,0.0102124,0.167429,0.175535
0.0076822,0.156976,0.00978519,0.166761,0.174443
0.00757305,0.155775,0.00968886,0.165463,0.173036
0.00817734,0.15605,0.0104466,0.166496,0.174674
0.00754611,0.158057,0.00964496,0.167702,0.175248
0.00753939,0.157194,0.00964644,0.166841,0.17438
0.00816234,0.156147,0.0102741,0.166421,0.174584
0.0076701,0.156787,0.00994544,0.166732,0.174402
0.00812807,0.15755,0.0102225,0.167773,0.175901
