pre.send,main.matrix,remain.matrix,total.comput,total
0.00834545,0.197449,0.00834591,0.205795,0.21414
0.00776702,0.194318,0.00776738,0.202085,0.209852
0.00821697,0.207233,0.00821721,0.21545,0.223667
0.00777545,0.197279,0.00777573,0.205055,0.212831
0.00766518,0.194678,0.00766559,0.202344,0.210009
0.00772981,0.195159,0.00773012,0.202889,0.210619
0.00828803,0.195798,0.00828839,0.204086,0.212374
0.00825056,0.195014,0.00825092,0.203265,0.211515
0.00772806,0.19421,0.00772837,0.201939,0.209667
0.00785754,0.196217,0.00785799,0.204075,0.211933
