pre.send,main.matrix,remain.matrix,total.comput,total
0.0081637,0.222208,0.0250979,0.247305,0.255469
0.00818955,0.221222,0.0251625,0.246384,0.254574
0.00753057,0.219985,0.0241938,0.244178,0.251709
0.00756034,0.221587,0.0243721,0.245959,0.25352
0.0075386,0.219432,0.0243126,0.243744,0.251283
0.0081499,0.221158,0.0249914,0.24615,0.2543
0.00810743,0.221648,0.0249597,0.246608,0.254715
0.00756166,0.22236,0.0243332,0.246693,0.254255
0.00759579,0.221179,0.0242993,0.245478,0.253074
0.00761181,0.222653,0.024477,0.24713,0.254742
