#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.01
8,1000,0.99,8.09
16,1000,0.99,16.13
32,1000,1.02,31.53
64,1000,1.14,55.93
128,1000,1.20,106.68
256,1000,1.44,178.32
512,1000,1.50,340.61
1024,1000,1.66,615.97
2048,1000,2.33,879.53
4096,1000,3.18,1289.58
8192,1000,4.45,1842.67
16384,1000,6.25,2622.70
32768,1000,8.40,3902.74
65536,640,12.24,5355.76
131072,320,18.38,7130.99
262144,160,31.99,8195.58
524288,80,54.29,9656.59
1048576,40,96.98,10812.15
2097152,20,186.01,11274.33
4194304,10,352.29,11905.81
8388608,5,694.32,12081.71
16777216,2,1381.70,12142.45
33554432,1,2758.85,12162.48
67108864,1,5507.10,12185.88
134217728,1,11030.64,12167.72
268435456,1,22079.94,12157.44
