pre.send,main.matrix,remain.matrix,total.comput,total
0.00817584,0.207503,0.0103062,0.217809,0.225985
0.00825486,0.208017,0.0104461,0.218463,0.226718
0.00814636,0.206752,0.0104166,0.217169,0.225315
0.00814766,0.205593,0.0102471,0.21584,0.223987
0.00767226,0.207895,0.00980195,0.217697,0.22537
0.00758437,0.207482,0.00970643,0.217188,0.224773
0.00822617,0.208204,0.0105068,0.218711,0.226937
0.00768462,0.208115,0.00983203,0.217947,0.225632
0.00758989,0.206538,0.00970961,0.216248,0.223838
0.00760003,0.205431,0.00971681,0.215148,0.222748
