#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.20,5.07
2,1000,0.19,10.33
4,1000,0.20,20.16
8,1000,0.20,40.47
16,1000,0.19,85.49
32,1000,0.22,142.32
64,1000,0.22,288.68
128,1000,0.32,403.74
256,1000,0.33,765.86
512,1000,0.39,1296.55
1024,1000,0.49,2072.25
2048,1000,0.74,2756.68
4096,1000,1.12,3669.69
8192,1000,1.86,4398.99
16384,1000,2.95,5548.00
32768,1000,4.82,6802.55
65536,640,8.33,7866.28
131072,320,15.07,8697.78
262144,160,12.77,20533.16
524288,80,24.75,21181.87
1048576,40,52.32,20042.35
2097152,20,141.74,14795.97
4194304,10,300.46,13959.43
8388608,5,842.16,9960.86
16777216,2,2235.18,7505.99
33554432,1,5130.09,6540.71
67108864,1,10300.60,6515.04
134217728,1,20453.48,6562.10
268435456,1,41236.05,6509.73
