pre.send,main.matrix,total
0.00824473,0.0865521,0.0947969
0.00765736,0.0877485,0.0954059
0.00762925,0.0877282,0.0953575
0.00832116,0.0939433,0.102264
0.00831136,0.0872216,0.0955329
0.0081923,0.086668,0.0948604
0.00768688,0.0875217,0.0952086
0.00765049,0.0877351,0.0953856
0.00762826,0.0873152,0.0949435
0.00774334,0.0875761,0.0953195
