#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.80,0.00
1,1000,15.88,0.06
2,1000,15.88,0.13
4,1000,15.88,0.25
8,1000,15.89,0.50
16,1000,15.90,1.01
32,1000,15.94,2.01
64,1000,16.14,3.96
128,1000,16.64,7.69
256,1000,16.67,15.36
512,1000,16.94,30.23
1024,1000,17.46,58.63
2048,1000,38.90,52.65
4096,1000,39.28,104.28
8192,1000,40.23,203.61
16384,1000,42.22,388.10
32768,1000,49.82,657.69
65536,640,146.96,445.94
131072,320,140.40,933.59
262144,160,192.48,1361.91
524288,80,275.29,1904.49
1048576,40,459.26,2283.18
2097152,20,819.94,2557.70
4194304,10,1527.14,2746.50
8388608,5,2970.09,2824.36
16777216,2,5841.40,2872.12
33554432,1,11579.26,2897.81
67108864,1,22982.86,2919.95
134217728,1,45782.85,2931.62
268435456,1,91390.85,2937.22
