pre.send,main.matrix,remain.matrix,total.comput,total
0.00836535,0.207278,0.00836558,0.215644,0.224009
0.00819138,0.206213,0.00819201,0.214405,0.222596
0.00763693,0.204227,0.00763724,0.211865,0.219501
0.00828128,0.204649,0.00828179,0.212931,0.221212
0.00774007,0.205776,0.00774036,0.213516,0.221256
0.00823857,0.204927,0.00823898,0.213166,0.221404
0.00837093,0.207666,0.00837132,0.216038,0.224409
0.00775874,0.211605,0.00775908,0.219364,0.227123
0.00771623,0.204608,0.00771651,0.212325,0.220041
0.00785955,0.208432,0.00786,0.216292,0.224151
