numproc,exec-time,init-time
I,am,process,1,and,i,have,received,64,messages.My,final,messages,have,tag,10,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,18,and,i,have,received,64,messages.My,final,messages,have,tag,180,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
I,am,process,62,and,i,have,received,64,messages.My,final,messages,have,tag,620,and,left-value,-2016,right-value,2016
I,am,process,61,and,i,have,received,64,messages.My,final,messages,have,tag,610,and,left-value,-2016,right-value,2016
