pre.send,main.matrix,remain.matrix,total.comput,total
0.00773648,0.155548,0.0142518,0.169799,0.177536
0.00772807,0.156065,0.0142253,0.17029,0.178018
0.00724885,0.156745,0.0137504,0.170496,0.177745
0.00769409,0.160675,0.0166024,0.177278,0.184972
0.00779597,0.15654,0.0143335,0.170873,0.178669
0.00714936,0.156652,0.0136361,0.170288,0.177438
0.0077158,0.156671,0.0141564,0.170827,0.178543
0.00713732,0.155706,0.0135599,0.169266,0.176403
0.00715563,0.156384,0.0136849,0.170069,0.177224
0.00774514,0.156622,0.0142639,0.170886,0.178632
