#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.00
8,1000,0.99,8.08
16,1000,0.99,16.09
32,1000,1.01,31.82
64,1000,1.15,55.87
128,1000,1.19,107.51
256,1000,2.47,103.83
512,1000,1.50,341.25
1024,1000,1.66,616.37
2048,1000,2.33,879.65
4096,1000,3.18,1289.74
8192,1000,4.46,1838.28
16384,1000,6.24,2623.87
32768,1000,8.40,3899.61
65536,640,12.37,5299.72
131072,320,18.64,7030.36
262144,160,32.08,8170.68
524288,80,57.25,9157.75
1048576,40,98.53,10642.23
2097152,20,182.43,11495.55
4194304,10,353.22,11874.46
8388608,5,692.59,12112.01
16777216,2,1383.28,12128.59
33554432,1,2759.82,12158.18
67108864,1,5523.86,12148.91
134217728,1,11031.69,12166.56
268435456,1,22066.90,12164.62
