pre.send,main.matrix,remain.matrix,total.comput,total
0.00784865,0.150598,0.0144115,0.16501,0.172858
0.00787559,0.151517,0.0144923,0.166009,0.173885
0.0078144,0.152922,0.0167749,0.169697,0.177512
0.00784654,0.151783,0.0145118,0.166295,0.174141
0.00781763,0.15098,0.014535,0.165515,0.173332
0.00719385,0.151055,0.0139317,0.164986,0.17218
0.00722373,0.15091,0.0137926,0.164703,0.171927
0.00778058,0.151501,0.0144363,0.165938,0.173718
0.00781301,0.151693,0.014422,0.166115,0.173928
0.0072475,0.152003,0.0137967,0.165799,0.173047
