pre.send,main.matrix,remain.matrix,total.comput,total
0.0079185,0.328841,0.0291877,0.358028,0.365947
0.00775482,0.324773,0.0288976,0.353671,0.361425
0.00776396,0.326967,0.028794,0.355761,0.363525
0.00723463,0.323214,0.0282549,0.351469,0.358704
0.00784871,0.325832,0.0289873,0.354819,0.362668
0.00786618,0.323959,0.0289116,0.35287,0.360737
0.00791498,0.329082,0.029203,0.358285,0.3662
0.00736238,0.329525,0.0285824,0.358108,0.36547
0.00783678,0.323405,0.0289246,0.352329,0.360166
0.00778421,0.322894,0.0287341,0.351628,0.359412
