#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.50
2,1000,0.41,4.90
4,1000,0.41,9.78
8,1000,0.40,19.89
16,1000,0.40,39.77
32,1000,0.56,56.64
64,1000,0.55,115.81
128,1000,0.87,147.13
256,1000,0.92,279.14
512,1000,1.11,461.54
1024,1000,1.28,798.34
2048,1000,2.11,971.16
4096,1000,3.06,1340.12
8192,1000,4.93,1661.44
16384,1000,7.80,2100.13
32768,1000,13.59,2411.41
65536,640,23.74,2760.75
131072,320,45.31,2892.91
262144,160,14.44,18152.95
524288,80,25.99,20169.10
1048576,40,57.90,18110.44
2097152,20,135.46,15482.24
4194304,10,296.68,14137.64
8388608,5,632.15,13269.96
16777216,2,1910.64,8780.95
33554432,1,5575.56,6018.12
67108864,1,12008.60,5588.40
134217728,1,24134.19,5561.31
268435456,1,48085.37,5582.48
