pre.send,main.matrix,remain.matrix,total.comput,total
0.00777757,0.155126,0.0164545,0.171581,0.179358
0.00783195,0.154811,0.0164739,0.171285,0.179117
0.00729425,0.154612,0.0159282,0.17054,0.177834
0.00733679,0.156201,0.0161371,0.172338,0.179675
0.00721781,0.158406,0.0158589,0.174265,0.181483
0.00788178,0.155218,0.0166335,0.171851,0.179733
0.00724483,0.154817,0.0159036,0.170721,0.177966
0.0078208,0.155063,0.0165042,0.171567,0.179388
0.00789418,0.155999,0.0166009,0.1726,0.180494
0.00719433,0.156204,0.0158177,0.172022,0.179216
