#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.60
2,1000,0.28,7.10
4,1000,0.28,14.32
8,1000,0.28,28.53
16,1000,0.30,53.30
32,1000,0.30,107.11
64,1000,0.34,190.38
128,1000,0.39,324.65
256,1000,0.45,565.67
512,1000,0.62,820.59
1024,1000,0.71,1445.81
2048,1000,0.85,2397.48
4096,1000,1.80,2276.16
8192,1000,2.13,3845.08
16384,1000,2.79,5865.20
32768,1000,3.75,8735.04
65536,640,5.72,11449.94
131072,320,10.19,12860.41
262144,160,19.50,13443.95
524288,80,40.36,12989.45
1048576,40,99.54,10534.44
2097152,20,196.40,10678.19
4194304,10,463.95,9040.49
8388608,5,1493.04,5618.49
16777216,2,3722.73,4506.70
33554432,1,7462.10,4496.65
67108864,1,14950.42,4488.76
134217728,1,29869.72,4493.44
268435456,1,59714.03,4495.35
