#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.61
2,1000,0.28,7.19
4,1000,0.28,14.35
8,1000,0.28,28.68
16,1000,0.30,52.47
32,1000,0.31,103.86
64,1000,0.36,180.08
128,1000,0.38,332.71
256,1000,0.46,558.34
512,1000,0.60,847.03
1024,1000,0.69,1481.75
2048,1000,0.89,2290.01
4096,1000,1.78,2297.71
8192,1000,2.08,3936.03
16384,1000,2.69,6089.19
32768,1000,3.99,8220.33
65536,640,5.48,11951.51
131072,320,10.53,12445.40
262144,160,19.39,13518.59
524288,80,39.88,13147.38
1048576,40,99.34,10555.09
2097152,20,197.07,10641.54
4194304,10,461.45,9089.36
8388608,5,1496.73,5604.64
16777216,2,3725.49,4503.35
33554432,1,7468.08,4493.05
67108864,1,14909.18,4501.18
134217728,1,29869.69,4493.44
268435456,1,59644.74,4500.57
