#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.02
2,1000,0.19,10.53
4,1000,0.19,20.87
8,1000,0.19,41.61
16,1000,0.19,83.34
32,1000,0.22,144.32
64,1000,0.22,289.35
128,1000,0.32,405.19
256,1000,0.33,771.45
512,1000,0.39,1298.70
1024,1000,0.51,2022.40
2048,1000,0.75,2746.55
4096,1000,1.12,3670.38
8192,1000,1.85,4416.65
16384,1000,2.97,5513.54
32768,1000,4.81,6814.01
65536,640,8.09,8098.46
131072,320,14.77,8871.83
262144,160,13.08,20039.23
524288,80,27.35,19169.84
1048576,40,62.02,16907.73
2097152,20,143.92,14571.35
4194304,10,315.37,13299.46
8388608,5,891.12,9413.52
16777216,2,2303.41,7283.64
33554432,1,5233.88,6411.00
67108864,1,10426.44,6436.41
134217728,1,20945.46,6407.96
268435456,1,41773.53,6425.97
