#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.02
2,1000,0.99,2.01
4,1000,0.99,4.03
8,1000,0.98,8.12
16,1000,0.99,16.15
32,1000,1.01,31.80
64,1000,1.17,54.76
128,1000,1.21,105.57
256,1000,1.43,178.94
512,1000,1.51,339.61
1024,1000,1.66,617.96
2048,1000,2.31,885.48
4096,1000,3.22,1270.14
8192,1000,4.51,1815.78
16384,1000,6.48,2528.46
32768,1000,8.57,3822.00
65536,640,12.47,5257.20
131072,320,18.82,6964.94
262144,160,32.63,8033.39
524288,80,53.99,9710.59
1048576,40,97.49,10755.77
2097152,20,182.28,11505.13
4194304,10,352.57,11896.34
8388608,5,693.02,12104.36
16777216,2,1380.30,12154.79
33554432,1,2762.40,12146.82
67108864,1,5497.22,12207.79
134217728,1,11029.74,12168.71
268435456,1,22033.79,12182.90
