#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.59
2,1000,0.28,7.20
4,1000,0.28,14.31
8,1000,0.28,28.95
16,1000,0.30,54.21
32,1000,0.30,105.50
64,1000,0.34,189.46
128,1000,0.38,334.75
256,1000,0.45,568.35
512,1000,0.60,847.26
1024,1000,0.69,1490.28
2048,1000,0.87,2352.02
4096,1000,1.78,2307.05
8192,1000,2.12,3857.38
16384,1000,2.71,6043.43
32768,1000,3.76,8720.79
65536,640,5.31,12345.48
131072,320,10.62,12338.09
262144,160,19.29,13588.61
524288,80,39.20,13375.35
1048576,40,98.22,10675.82
2097152,20,216.45,9689.01
4194304,10,490.17,8556.80
8388608,5,1518.73,5523.44
16777216,2,3723.00,4506.37
33554432,1,7442.54,4508.46
67108864,1,14924.12,4496.67
134217728,1,29859.29,4495.01
268435456,1,59630.04,4501.68
