#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.56
2,1000,0.28,7.04
4,1000,0.28,14.10
8,1000,0.29,27.41
16,1000,0.30,53.57
32,1000,0.31,104.78
64,1000,0.33,191.38
128,1000,0.38,334.05
256,1000,0.47,548.39
512,1000,0.63,813.21
1024,1000,0.73,1399.43
2048,1000,0.91,2258.98
4096,1000,1.79,2289.95
8192,1000,2.15,3807.56
16384,1000,2.66,6150.24
32768,1000,3.86,8489.92
65536,640,5.38,12182.61
131072,320,10.64,12319.18
262144,160,19.47,13466.80
524288,80,41.33,12685.06
1048576,40,98.01,10698.12
2097152,20,216.61,9681.47
4194304,10,489.38,8570.66
8388608,5,1519.10,5522.08
16777216,2,3735.51,4491.28
33554432,1,7475.44,4488.63
67108864,1,15005.26,4472.36
134217728,1,29883.60,4491.35
268435456,1,59587.87,4504.87
