#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.39,2.56
2,1000,0.39,5.11
4,1000,0.39,10.22
8,1000,0.39,20.46
16,1000,0.39,40.64
32,1000,0.56,57.36
64,1000,0.56,114.45
128,1000,0.89,144.61
256,1000,0.94,271.91
512,1000,1.14,450.22
1024,1000,1.29,794.50
2048,1000,2.11,972.58
4096,1000,2.99,1367.93
8192,1000,4.82,1698.79
16384,1000,7.22,2270.15
32768,1000,12.94,2532.74
65536,640,24.36,2690.33
131072,320,45.28,2894.48
262144,160,13.17,19897.73
524288,80,22.98,22817.09
1048576,40,51.11,20515.41
2097152,20,139.55,15028.31
4194304,10,304.58,13770.69
8388608,5,611.27,13723.27
16777216,2,1891.93,8867.77
33554432,1,5527.56,6070.38
67108864,1,11919.74,5630.06
134217728,1,23606.80,5685.55
268435456,1,47771.13,5619.20
