pre.send,main.matrix,remain.matrix,total.comput,total
0.00768086,0.209397,0.0096327,0.21903,0.22671
0.00757877,0.205928,0.00955904,0.215487,0.223065
0.00823249,0.213894,0.0101766,0.22407,0.232303
0.00817341,0.207726,0.0101182,0.217845,0.226018
0.00753275,0.206589,0.00955562,0.216144,0.223677
0.00767884,0.208,0.00961871,0.217618,0.225297
0.00821616,0.208273,0.0101565,0.218429,0.226645
0.00820507,0.208592,0.0102233,0.218815,0.22702
0.00816464,0.208774,0.0101057,0.21888,0.227045
0.00822676,0.207891,0.0101927,0.218083,0.22631
