#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,0.99,1.01
2,1000,1.01,1.98
4,1000,1.01,3.97
8,1000,1.00,8.02
16,1000,1.00,16.03
32,1000,1.02,31.42
64,1000,1.15,55.77
128,1000,1.20,107.02
256,1000,1.44,178.40
512,1000,1.51,339.50
1024,1000,1.66,615.99
2048,1000,2.32,882.01
4096,1000,3.17,1290.92
8192,1000,4.44,1845.67
16384,1000,6.25,2621.57
32768,1000,8.42,3890.68
65536,640,12.25,5352.04
131072,320,18.36,7139.35
262144,160,32.00,8191.70
524288,80,56.21,9327.74
1048576,40,98.36,10660.32
2097152,20,182.53,11489.46
4194304,10,352.80,11888.78
8388608,5,693.37,12098.33
16777216,2,1382.88,12132.11
33554432,1,2763.36,12142.61
67108864,1,5526.14,12143.90
134217728,1,11023.98,12175.07
268435456,1,22072.83,12161.35
