#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.72
2,1000,0.20,9.85
4,1000,0.20,20.00
8,1000,0.20,39.32
16,1000,0.20,81.26
32,1000,0.23,140.75
64,1000,0.23,282.00
128,1000,0.31,414.13
256,1000,0.32,794.47
512,1000,0.38,1338.43
1024,1000,0.49,2080.41
2048,1000,0.74,2751.67
4096,1000,1.11,3683.87
8192,1000,1.85,4426.67
16384,1000,2.92,5613.30
32768,1000,4.70,6970.38
65536,640,8.01,8182.71
131072,320,14.40,9104.72
262144,160,13.80,18993.39
524288,80,26.45,19821.11
1048576,40,59.65,17579.04
2097152,20,143.27,14637.97
4194304,10,311.39,13469.54
8388608,5,878.73,9546.26
16777216,2,2269.57,7392.26
33554432,1,5219.18,6429.06
67108864,1,10412.31,6445.15
134217728,1,20840.84,6440.13
268435456,1,41599.30,6452.88
