#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.52
2,1000,0.40,5.02
4,1000,0.40,10.05
8,1000,0.40,20.16
16,1000,0.40,40.33
32,1000,0.56,57.47
64,1000,0.55,115.89
128,1000,0.90,142.18
256,1000,0.94,273.60
512,1000,1.12,459.14
1024,1000,1.33,772.72
2048,1000,2.10,975.25
4096,1000,3.01,1359.84
8192,1000,4.73,1731.50
16384,1000,7.15,2291.32
32768,1000,13.24,2475.70
65536,640,24.08,2721.92
131072,320,42.19,3106.59
262144,160,14.42,18183.13
524288,80,25.50,20563.75
1048576,40,62.37,16812.33
2097152,20,146.87,14278.92
4194304,10,300.35,13964.84
8388608,5,602.70,13918.33
16777216,2,1883.30,8908.40
33554432,1,5514.16,6085.14
67108864,1,11769.94,5701.71
134217728,1,23695.98,5664.16
268435456,1,47256.41,5680.40
