#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.06,0.00
1,1000,16.00,0.06
2,1000,15.97,0.13
4,1000,15.94,0.25
8,1000,15.99,0.50
16,1000,16.01,1.00
32,1000,16.01,2.00
64,1000,16.32,3.92
128,1000,16.99,7.53
256,1000,17.12,14.95
512,1000,16.95,30.20
1024,1000,17.96,57.01
2048,1000,39.28,52.14
4096,1000,39.56,103.54
8192,1000,41.12,199.21
16384,1000,43.32,378.19
32768,1000,49.51,661.90
65536,640,63.81,1027.02
131072,320,118.11,1109.73
262144,160,162.30,1615.22
524288,80,246.02,2131.10
1048576,40,396.80,2642.56
2097152,20,713.84,2937.85
4194304,10,1410.56,2973.51
8388608,5,3098.65,2707.18
16777216,2,6088.56,2755.53
33554432,1,12387.74,2708.68
67108864,1,25149.23,2668.43
134217728,1,49303.51,2722.28
268435456,1,98009.67,2738.87
