#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.20,0.00
1,1000,16.36,0.06
2,1000,16.40,0.12
4,1000,16.34,0.24
8,1000,16.32,0.49
16,1000,16.43,0.97
32,1000,16.49,1.94
64,1000,16.98,3.77
128,1000,17.44,7.34
256,1000,17.14,14.94
512,1000,17.81,28.74
1024,1000,17.95,57.06
2048,1000,39.47,51.89
4096,1000,39.78,102.96
8192,1000,41.28,198.43
16384,1000,43.55,376.21
32768,1000,54.55,600.67
65536,640,66.47,986.00
131072,320,122.19,1072.65
262144,160,152.83,1715.23
524288,80,227.02,2309.43
1048576,40,353.89,2963.01
2097152,20,665.67,3150.42
4194304,10,1332.59,3147.49
8388608,5,2767.35,3031.28
16777216,2,5738.62,2923.56
33554432,1,11045.28,3037.90
67108864,1,22661.58,2961.35
134217728,1,43645.64,3075.17
268435456,1,87130.75,3080.83
