NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
5,1048575,20,1,0.0719599,1.1968,1.00675,1.18877
5,1048575,20,2,0.0717944,1.19748,1.02111,1.17273
5,1048575,20,3,0.0719193,1.19697,1.03549,1.15594
5,1048575,20,4,0.0716439,1.1936,1.04982,1.13696
5,2097151,21,0,0.145702,2.53971,2.12878,1.19304
5,2097151,21,1,0.14575,2.5379,2.15793,1.17608
5,2097151,21,2,0.145713,2.54338,2.18707,1.16291
5,2097151,21,3,0.145667,2.53691,2.21621,1.14471
5,2097151,21,4,0.145319,2.54179,2.24527,1.13207
5,4194303,22,0,0.293556,5.37666,4.54925,1.18188
5,4194303,22,1,0.293378,5.37121,4.60793,1.16565
5,4194303,22,2,0.293267,5.37859,4.66658,1.15258
5,4194303,22,3,0.292089,5.37289,4.725,1.13712
5,4194303,22,4,0.292542,5.37087,4.78351,1.12279
5,8388607,23,0,0.610989,11.3623,9.68922,1.17267
5,8388607,23,1,0.610867,11.3576,9.81139,1.1576
5,8388607,23,2,0.610648,11.3566,9.93352,1.14326
5,8388607,23,3,0.61103,11.3738,10.0557,1.13107
5,8388607,23,4,0.608989,11.3544,10.1775,1.11564
5,16777215,24,0,1.2312,23.9182,20.6013,1.161
