pre.send,main.matrix,remain.matrix,total.comput,total
0.00762527,0.210352,0.0120164,0.222368,0.229993
0.00756593,0.210454,0.0120569,0.22251,0.230076
0.00819592,0.210524,0.0126295,0.223153,0.231349
0.00809792,0.210746,0.0124824,0.223229,0.231327
0.00811915,0.209374,0.0124967,0.221871,0.22999
0.00762716,0.21172,0.0120819,0.223802,0.231429
0.00819129,0.212115,0.0126322,0.224747,0.232939
0.00761532,0.210461,0.0120087,0.22247,0.230085
0.00757276,0.214197,0.0119862,0.226183,0.233756
0.00752975,0.210214,0.0119368,0.222151,0.229681
