#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.19,5.19
2,1000,0.19,10.68
4,1000,0.19,21.24
8,1000,0.19,43.11
16,1000,0.19,86.39
32,1000,0.22,145.26
64,1000,0.23,281.00
128,1000,0.31,415.94
256,1000,0.33,779.73
512,1000,0.39,1318.74
1024,1000,0.49,2078.31
2048,1000,0.75,2738.89
4096,1000,1.11,3674.44
8192,1000,1.86,4407.66
16384,1000,2.99,5484.74
32768,1000,4.76,6881.69
65536,640,8.23,7964.51
131072,320,14.57,8996.29
262144,160,13.19,19867.27
524288,80,23.79,22038.63
1048576,40,53.03,19774.28
2097152,20,139.29,15056.28
4194304,10,310.14,13524.11
8388608,5,878.40,9549.84
16777216,2,2299.90,7294.75
33554432,1,5218.26,6430.20
67108864,1,10437.11,6429.83
134217728,1,20882.36,6427.33
268435456,1,41601.54,6452.54
